Origin State,Type,Dest State,Year,Measure Names,Measure Values
Arizona,Import,Texas,2022,Current Value (millions of dollars),921.066608
Arizona,Import,Tennessee,2022,Current Value (millions of dollars),31.199098
Arizona,Import,South Dakota,2022,Current Value (millions of dollars),0
Arizona,Import,South Carolina,2022,Current Value (millions of dollars),21.379091
Arizona,Import,Rhode Island,2022,Current Value (millions of dollars),18.185201
Arizona,Import,Pennsylvania,2022,Current Value (millions of dollars),93.755233
Arizona,Import,Oregon,2022,Current Value (millions of dollars),132.72461
Arizona,Import,Oklahoma,2022,Current Value (millions of dollars),0.424525
Arizona,Import,Ohio,2022,Current Value (millions of dollars),183.579444
Arizona,Import,North Dakota,2022,Current Value (millions of dollars),0
Arizona,Import,North Carolina,2022,Current Value (millions of dollars),223.930651
Arizona,Import,New York,2022,Current Value (millions of dollars),182.509586
Arizona,Import,New Mexico,2022,Current Value (millions of dollars),96.846439
Arizona,Import,New Jersey,2022,Current Value (millions of dollars),84.327898
Arizona,Import,New Hampshire,2022,Current Value (millions of dollars),19.798982
Arizona,Import,Nevada,2022,Current Value (millions of dollars),49.640014
